id,site_key,url,dedupe_key,fetched_at,processed
1,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1476.html,e0db86ddc78899df7e1497c7a43c45a4c073cc285835d9d3a89c88310875fe8c,2025-09-10,0
2,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1475.html,d2e98b9bafa1e623d420d1eeaa0825038c8ca95981d34f6a82b091b53c843879,2025-09-10,0
3,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1473.html,fcc8b7b126dcdc395081070d4c0def5a079d1533ed83d3f2fe857b3566fb81cb,2025-09-10,0
4,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1469.html,78263c25cd83d35ff8bb6b21b890137b61ccf203690ead57f9c84db27cb0c9b7,2025-09-10,0
5,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1464.html,78e9606b7fbc568a80269722b2f6d2bbb06f531c181162f59c7d52a64a6f1717,2025-09-10,0
6,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1459.html,976ebb398a755b5db5819097496a4770a029a049517cd8554ba1113666efabf9,2025-09-10,0
7,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1455.html,510c74579a703855cb9bddf7486e48381ab2dac7c2a5b032a615bd01440dd1af,2025-09-10,0
8,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1456.html,a2e0f84725c88f0928c068eafa2b0e3f665c8637d72d25d8a20c0f1b0c1b4b02,2025-09-10,0
9,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1453.html,936b674fd7b0c4e2a15420e1e45175664c6d69f65fd960db34a634060f1d4406,2025-09-10,0
10,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1445.html,746c4adc2197979f62f32c3c47115af8ecb57481da2cd9549a991974ee3c7469,2025-09-10,0
11,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1441.html,25c6e0b3d47040db4ca986ec99bc98c97288e176837c9cec3f7ff899e502c37b,2025-09-10,0
12,hachikomi,https://hachikomi.genki365.net/G0000001/system/subsidy/1437.html,a2b51fd5ad3ba3822b0a54a55d8875716985539e938da8aa3914c765868d2abd,2025-09-10,0
